model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9982571077836057,0.998186864143251,0.9982571077836057,0.9983415228416324,0.9982571077836057,0.998033484290521,0.9982571077836057,0.9981666666666666,accuracy,0.644404411315918,0.09242391586303711,1.757990837097168,0.644404411315918,0.09242391586303711,1.757990837097168,1,True,2
RandomForestEntr,0.9982341318033519,0.9981629078280001,0.9982341318033519,0.9983324858745752,0.9982341318033519,0.9979948650697161,0.9982341318033519,0.99825,accuracy,0.5979583263397217,0.10283875465393066,1.9123485088348389,0.5979583263397217,0.10283875465393066,1.9123485088348389,1,True,3
WeightedEnsemble_L2,0.9982341318033519,0.9981629078280001,0.9982341318033519,0.9983324858745752,0.9982341318033519,0.9979948650697161,0.9982341318033519,0.99825,accuracy,0.6021268367767334,0.10357952117919922,1.9577088356018066,0.004168510437011719,0.0007407665252685547,0.04536032676696777,2,True,6
XGBoost,0.9969245009288861,0.9967987747554217,0.9969245009288861,0.9972349691809672,0.9969245009288861,0.9963725145576154,0.9969245009288861,0.9979166666666667,accuracy,0.31526637077331543,0.008105993270874023,0.29657888412475586,0.31526637077331543,0.008105993270874023,0.29657888412475586,1,True,4
NeuralNetTorch,0.9932992194731279,0.9930498335420228,0.9932992194731279,0.9918104768084278,0.9932992194731279,0.9943869772677121,0.9932992194731279,0.99475,accuracy,0.9418864250183105,0.029221773147583008,30.097862720489502,0.9418864250183105,0.029221773147583008,30.097862720489502,1,True,5
LightGBM,0.5980368666014586,0.3742322089685592,0.5980368666014586,0.2990184333007293,0.5980368666014586,0.5,0.5980368666014586,0.9981666666666666,accuracy,0.05237984657287598,0.0022094249725341797,0.18738222122192383,0.05237984657287598,0.0022094249725341797,0.18738222122192383,1,True,1
