model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9983326002901538,0.9982651144269532,0.9983326002901538,0.9985028854395155,0.9983326002901538,0.9980303404585755,0.9983326002901538,0.9986666666666667,accuracy,1.0121982097625732,0.10528111457824707,2.2472920417785645,0.009539365768432617,0.0006711483001708984,0.03467583656311035,2,True,6
LightGBM,0.9981816152770575,0.9981076253991431,0.9981816152770575,0.9984512001710246,0.9981816152770575,0.9977702464584599,0.9981816152770575,0.9983333333333333,accuracy,0.07140207290649414,0.003220796585083008,0.2949090003967285,0.07140207290649414,0.003220796585083008,0.2949090003967285,1,True,1
RandomForestGini,0.9980010897179206,0.9979213444640871,0.9980010897179206,0.9978794495389534,0.9980010897179206,0.9979633352013764,0.9980010897179206,0.998,accuracy,0.5388736724853516,0.09229350090026855,1.4106698036193848,0.5388736724853516,0.09229350090026855,1.4106698036193848,1,True,2
RandomForestEntr,0.9979567788988597,0.9978753014004424,0.9979567788988597,0.9978251213872651,0.9979567788988597,0.9979256190048313,0.9979567788988597,0.9978333333333333,accuracy,0.5504271984100342,0.09081649780273438,1.415306568145752,0.5504271984100342,0.09081649780273438,1.415306568145752,1,True,3
XGBoost,0.9976745025700275,0.9975819981009078,0.9976745025700275,0.9974849368982681,0.9976745025700275,0.9976795770470419,0.9976745025700275,0.99825,accuracy,0.3923830986022949,0.00909566879272461,0.5070374011993408,0.3923830986022949,0.00909566879272461,0.5070374011993408,1,True,4
NeuralNetTorch,0.9933254777362751,0.9930771404971726,0.9933254777362751,0.9918332021397934,0.9933254777362751,0.9944196397944034,0.9933254777362751,0.9936666666666667,accuracy,0.8900656700134277,0.021311044692993164,31.38685393333435,0.8900656700134277,0.021311044692993164,31.38685393333435,1,True,5
