model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,0.9984753795960166,0.9984137846766061,0.9984753795960166,0.9986157723067859,0.9984753795960166,0.99821396665343,0.9984753795960166,0.99875,accuracy,0.06205606460571289,0.002481222152709961,0.21621060371398926,0.06205606460571289,0.002481222152709961,0.21621060371398926,1,True,1
WeightedEnsemble_L2,0.9984753795960166,0.9984137846766061,0.9984753795960166,0.9986157723067859,0.9984753795960166,0.99821396665343,0.9984753795960166,0.99875,accuracy,0.06811118125915527,0.0031998157501220703,0.2559804916381836,0.006055116653442383,0.0007185935974121094,0.039769887924194336,2,True,6
XGBoost,0.9984359922012959,0.9983728892126187,0.9984359922012959,0.9985489941903886,0.9984359922012959,0.9981984378965596,0.9984359922012959,0.99875,accuracy,0.35894060134887695,0.007352113723754883,0.3149573802947998,0.35894060134887695,0.007352113723754883,0.3149573802947998,1,True,4
RandomForestGini,0.9978960566653319,0.9978120421791938,0.9978960566653319,0.9977880840456814,0.9978960566653319,0.9978360315979274,0.9978960566653319,0.9980833333333333,accuracy,0.6352875232696533,0.08224749565124512,1.3423402309417725,0.6352875232696533,0.08224749565124512,1.3423402309417725,1,True,2
RandomForestEntr,0.9978829275337583,0.9977984093909866,0.9978829275337583,0.997769800772767,0.9978829275337583,0.9978270626418784,0.9978829275337583,0.9980833333333333,accuracy,0.6708190441131592,0.1053001880645752,1.6202356815338135,0.6708190441131592,0.1053001880645752,1.6202356815338135,1,True,3
NeuralNetTorch,0.9933238365948285,0.993075433829274,0.9933238365948285,0.9918317817507993,0.9933238365948285,0.9944175983864852,0.9933238365948285,0.9943333333333333,accuracy,1.0988051891326904,0.029386281967163086,27.279825687408447,1.0988051891326904,0.029386281967163086,27.279825687408447,1,True,5
