model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999080960789849,0.9999044181198298,0.9999080960789849,0.999922503424343,0.9999080960789849,0.9998863504572434,0.9999080960789849,1.0,accuracy,0.5902738571166992,0.09063982963562012,1.5836007595062256,0.5902738571166992,0.09063982963562012,1.5836007595062256,1,True,2
WeightedEnsemble_L2,0.9999080960789849,0.9999044181198298,0.9999080960789849,0.999922503424343,0.9999080960789849,0.9998863504572434,0.9999080960789849,1.0,accuracy,0.5950827598571777,0.09137344360351562,1.6245183944702148,0.004808902740478516,0.0007336139678955078,0.04091763496398926,2,True,6
RandomForestEntr,0.999901531513198,0.999897590431207,0.999901531513198,0.9999176871177595,0.999901531513198,0.9998775155249072,0.999901531513198,0.9999166666666667,accuracy,0.6246793270111084,0.0795745849609375,1.4432926177978516,0.6246793270111084,0.0795745849609375,1.4432926177978516,1,True,3
XGBoost,0.9998998903717513,0.9998958835353371,0.9998998903717513,0.9999163154659994,0.9998998903717513,0.9998754741169891,0.9998998903717513,1.0,accuracy,0.4675774574279785,0.0103302001953125,0.5100424289703369,0.4675774574279785,0.0103302001953125,0.5100424289703369,1,True,4
NeuralNetTorch,0.9997292116612947,0.9997183576486386,0.9997292116612947,0.9997669817965784,0.9997292116612947,0.9996698607001282,0.9997292116612947,0.9998333333333334,accuracy,1.0348803997039795,0.025853395462036133,209.3171739578247,1.0348803997039795,0.025853395462036133,209.3171739578247,1,True,5
LightGBM,0.9997045945395941,0.9996927700591456,0.9997045945395941,0.9997148697543767,0.9997045945395941,0.9996706967125317,0.9997045945395941,0.9996666666666667,accuracy,0.07127737998962402,0.0037734508514404297,0.36510419845581055,0.07127737998962402,0.0037734508514404297,0.36510419845581055,1,True,1
