model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999195840691117,0.9999163662468638,0.9999195840691117,0.999932105545591,0.9999195840691117,0.9999006403126709,0.9999195840691117,0.9996666666666667,accuracy,0.5503871440887451,0.10244607925415039,1.8213496208190918,0.5503871440887451,0.10244607925415039,1.8213496208190918,1,True,2
LightGBM,0.9998867612401777,0.9998822293902133,0.9998867612401777,0.999900649123121,0.9998867612401777,0.9998638279582867,0.9998867612401777,1.0,accuracy,0.08986043930053711,0.0036199092864990234,0.284700870513916,0.08986043930053711,0.0036199092864990234,0.284700870513916,1,True,1
WeightedEnsemble_L2,0.9998867612401777,0.9998822293902133,0.9998867612401777,0.999900649123121,0.9998867612401777,0.9998638279582867,0.9998867612401777,1.0,accuracy,0.09390950202941895,0.004280567169189453,0.3246297836303711,0.004049062728881836,0.0006606578826904297,0.03992891311645508,2,True,6
RandomForestEntr,0.9998834789572844,0.9998788147755049,0.9998834789572844,0.9999012580704663,0.9998834789572844,0.9998563986391336,0.9998834789572844,0.9996666666666667,accuracy,0.5487806797027588,0.1033475399017334,1.7903814315795898,0.5487806797027588,0.1033475399017334,1.7903814315795898,1,True,3
NeuralNetTorch,0.9997850104704824,0.9997764056250683,0.9997850104704824,0.9997968326736306,0.9997850104704824,0.9997560010859308,0.9997850104704824,1.0,accuracy,1.14935302734375,0.02827763557434082,529.740217924118,1.14935302734375,0.02827763557434082,529.740217924118,1,True,5
XGBoost,0.9995339158291375,0.999515196388985,0.9995339158291375,0.9996025299959426,0.9995339158291375,0.9994282717591875,0.9995339158291375,0.9995833333333334,accuracy,0.3606574535369873,0.0075855255126953125,0.23974323272705078,0.3606574535369873,0.0075855255126953125,0.23974323272705078,1,True,4
