model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999163017862184,0.9999129535567843,0.9999163017862184,0.9999233317246472,0.9999163017862184,0.9999025812028044,0.9999163017862184,0.9999166666666667,accuracy,0.6989469528198242,0.10389256477355957,1.8103289604187012,0.6989469528198242,0.10389256477355957,1.8103289604187012,1,True,2
RandomForestEntr,0.9999031726546448,0.9998992989430733,0.9999031726546448,0.9999110167563476,0.9999031726546448,0.9998875885407854,0.9999031726546448,0.9999166666666667,accuracy,0.6602768898010254,0.10312652587890625,1.8189995288848877,0.6602768898010254,0.10312652587890625,1.8189995288848877,1,True,3
LightGBM,0.9998293212895433,0.9998224929333532,0.9998293212895433,0.9998345439075371,0.9998293212895433,0.9998104497990592,0.9998293212895433,0.9999166666666667,accuracy,0.04697537422180176,0.002041339874267578,0.21189451217651367,0.04697537422180176,0.002041339874267578,0.21189451217651367,1,True,1
NeuralNetTorch,0.9995733032238583,0.9995561817828913,0.9995733032238583,0.9996253152267165,0.9995733032238583,0.9994873050591746,0.9995733032238583,1.0,accuracy,1.0431361198425293,0.026041746139526367,27.393813848495483,1.0431361198425293,0.026041746139526367,27.393813848495483,1,True,5
WeightedEnsemble_L2,0.9995733032238583,0.9995561817828913,0.9995733032238583,0.9996253152267165,0.9995733032238583,0.9994873050591746,0.9995733032238583,1.0,accuracy,1.0486032962799072,0.026691913604736328,27.435652494430542,0.00546717643737793,0.0006501674652099609,0.041838645935058594,2,True,6
XGBoost,0.9992893857535793,0.9992607712592418,0.9992893857535793,0.9993984526016918,0.9992893857535793,0.9991241019793737,0.9992893857535793,0.9998333333333334,accuracy,0.37140774726867676,0.0071413516998291016,0.22220993041992188,0.37140774726867676,0.0071413516998291016,0.22220993041992188,1,True,4
