model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.5391333103179932,0.07920694351196289,1.3274447917938232,0.5391333103179932,0.07920694351196289,1.3274447917938232,1,True,3
RandomForestGini,0.9999983588585533,0.9999982932412711,0.9999983588585533,0.9999986278965105,0.9999983588585533,0.9999979585920817,0.9999983588585533,1.0,accuracy,0.5507457256317139,0.07966446876525879,1.3018085956573486,0.5507457256317139,0.07966446876525879,1.3018085956573486,1,True,2
WeightedEnsemble_L2,0.9999983588585533,0.9999982932412711,0.9999983588585533,0.9999986278965105,0.9999983588585533,0.9999979585920817,0.9999983588585533,1.0,accuracy,0.5560503005981445,0.08033084869384766,1.3437209129333496,0.005304574966430664,0.0006663799285888672,0.04191231727600098,2,True,6
LightGBM,0.9998326035724368,0.999825909560935,0.9998326035724368,0.9998292555039157,0.9998326035724368,0.9998225642228555,0.9998326035724368,0.9993333333333333,accuracy,0.0584263801574707,0.002448558807373047,0.22874665260314941,0.0584263801574707,0.002448558807373047,0.22874665260314941,1,True,1
NeuralNetTorch,0.9997948573191626,0.9997866397291446,0.9997948573191626,0.9998231729219795,0.9997948573191626,0.99975017841553,0.9997948573191626,1.0,accuracy,1.033724308013916,0.024435758590698242,33.25722670555115,1.033724308013916,0.024435758590698242,33.25722670555115,1,True,5
XGBoost,0.9996881831251272,0.999675739486962,0.9996881831251272,0.9996396912075529,0.9996881831251272,0.9997118582943761,0.9996881831251272,0.9991666666666666,accuracy,0.408984899520874,0.007033348083496094,0.18698811531066895,0.408984899520874,0.007033348083496094,0.18698811531066895,1,True,4
