model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999934354342132,0.9999931729513761,0.9999934354342132,0.9999945116312255,0.9999934354342132,0.9999918343683272,0.9999934354342132,1.0,accuracy,0.5440137386322021,0.0920565128326416,1.654883861541748,0.5440137386322021,0.0920565128326416,1.654883861541748,1,True,2
RandomForestEntr,0.9999934354342132,0.9999931729513761,0.9999934354342132,0.9999945116312255,0.9999934354342132,0.9999918343683272,0.9999934354342132,1.0,accuracy,0.547142744064331,0.09128236770629883,1.6922907829284668,0.547142744064331,0.09128236770629883,1.6922907829284668,1,True,3
WeightedEnsemble_L2,0.9999934354342132,0.9999931729513761,0.9999934354342132,0.9999945116312255,0.9999934354342132,0.9999918343683272,0.9999934354342132,1.0,accuracy,0.5502419471740723,0.09274172782897949,1.6936988830566406,0.006228208541870117,0.0006852149963378906,0.03881502151489258,2,True,6
XGBoost,0.9998342447138834,0.9998276291309953,0.9998342447138834,0.9997939027874139,0.9998342447138834,0.9998614171672571,0.9998342447138834,0.9999166666666667,accuracy,0.39859795570373535,0.008603811264038086,0.213331937789917,0.39859795570373535,0.008603811264038086,0.213331937789917,1,True,4
NeuralNetTorch,0.999819474440863,0.9998122428358569,0.999819474440863,0.9998491137490295,0.999819474440863,0.9997754451289966,0.999819474440863,0.9999166666666667,accuracy,1.0461578369140625,0.025269269943237305,73.24048328399658,1.0461578369140625,0.025269269943237305,73.24048328399658,1,True,5
LightGBM,0.999809627592183,0.9998020293646032,0.999809627592183,0.9997686380516253,0.999809627592183,0.9998354811531273,0.999809627592183,0.9999166666666667,accuracy,0.0807647705078125,0.0019731521606445312,0.23273158073425293,0.0807647705078125,0.0019731521606445312,0.23273158073425293,1,True,1
