model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.5510504245758057,0.07923293113708496,1.3567917346954346,0.5510504245758057,0.07923293113708496,1.3567917346954346,1,True,2
WeightedEnsemble_L2,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.5581667423248291,0.07999062538146973,1.3927502632141113,0.0071163177490234375,0.0007576942443847656,0.03595852851867676,2,True,6
RandomForestEntr,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.5948188304901123,0.07999205589294434,1.333519458770752,0.5948188304901123,0.07999205589294434,1.333519458770752,1,True,3
LightGBM,0.9998884023816245,0.9998839393965391,0.9998884023816245,0.999888624599296,0.9998884023816245,0.9998792553794715,0.9998884023816245,0.9998333333333334,accuracy,0.08445286750793457,0.003243684768676758,0.30709123611450195,0.08445286750793457,0.003243684768676758,0.30709123611450195,1,True,1
NeuralNetTorch,0.9997735224803556,0.9997644456838723,0.9997735224803556,0.9998107208791329,0.9997735224803556,0.9997182857072866,0.9997735224803556,0.99975,accuracy,0.9467456340789795,0.022186994552612305,27.421955108642578,0.9467456340789795,0.022186994552612305,27.421955108642578,1,True,5
XGBoost,0.9997292116612947,0.9997184055322273,0.9997292116612947,0.9996820210233612,0.9997292116612947,0.9997548618843715,0.9997292116612947,0.9998333333333334,accuracy,0.5005984306335449,0.00783085823059082,0.3348722457885742,0.5005984306335449,0.00783085823059082,0.3348722457885742,1,True,4
