model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.5592060089111328,0.10260796546936035,1.9932985305786133,0.5592060089111328,0.10260796546936035,1.9932985305786133,1,True,2
WeightedEnsemble_L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.5638983249664307,0.10344600677490234,2.03562593460083,0.0046923160552978516,0.0008380413055419922,0.0423274040222168,2,True,6
RandomForestEntr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.6036863327026367,0.10245060920715332,2.037510871887207,0.6036863327026367,0.10245060920715332,2.037510871887207,1,True,3
LightGBM,0.9999868708684264,0.9999863458661955,0.9999868708684264,0.9999890233829385,0.9999868708684264,0.9999836687366543,0.9999868708684264,0.9993333333333333,accuracy,0.025104999542236328,0.0013017654418945312,0.16134405136108398,0.025104999542236328,0.0013017654418945312,0.16134405136108398,1,True,1
XGBoost,0.999983588585533,0.9999829323098957,0.999983588585533,0.9999862793039765,0.999983588585533,0.9999795859208178,0.999983588585533,0.9993333333333333,accuracy,0.18914437294006348,0.005188941955566406,0.11817169189453125,0.18914437294006348,0.005188941955566406,0.11817169189453125,1,True,4
NeuralNetTorch,0.999847373845457,0.9998412671878647,0.999847373845457,0.9998549936640508,0.999847373845457,0.9998275508808528,0.999847373845457,1.0,accuracy,0.8326327800750732,0.01871037483215332,306.7514879703522,0.8326327800750732,0.01871037483215332,306.7514879703522,1,True,5
