model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.02191901206970215,0.0011734962463378906,0.15357661247253418,0.02191901206970215,0.0011734962463378906,0.15357661247253418,1,True,1
WeightedEnsemble_L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.02689385414123535,0.0018851757049560547,0.1956031322479248,0.004974842071533203,0.0007116794586181641,0.042026519775390625,2,True,6
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.28043389320373535,0.0048334598541259766,0.12117862701416016,0.28043389320373535,0.0048334598541259766,0.12117862701416016,1,True,4
RandomForestGini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.5708420276641846,0.09353137016296387,1.7999176979064941,0.5708420276641846,0.09353137016296387,1.7999176979064941,1,True,2
RandomForestEntr,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.5686531066894531,0.09239697456359863,1.9337639808654785,0.5686531066894531,0.09239697456359863,1.9337639808654785,1,True,3
NeuralNetTorch,0.9994206770693153,0.9993973849288776,0.9994206770693153,0.9995053014317483,0.9994206770693153,0.9992900918154841,0.9994206770693153,0.9994166666666666,accuracy,0.6470921039581299,0.016827106475830078,39.556366205215454,0.6470921039581299,0.016827106475830078,39.556366205215454,1,True,5
