model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.034414052963256836,0.0026504993438720703,0.214982271194458,0.034414052963256836,0.0026504993438720703,0.214982271194458,1,True,1
WeightedEnsemble_L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.03969573974609375,0.0034589767456054688,0.25757884979248047,0.005281686782836914,0.0008084774017333984,0.04259657859802246,2,True,6
RandomForestEntr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.5863723754882812,0.10245537757873535,1.8859672546386719,0.5863723754882812,0.10245537757873535,1.8859672546386719,1,True,3
RandomForestGini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy,0.6480309963226318,0.09401297569274902,1.6401948928833008,0.6480309963226318,0.09401297569274902,1.6401948928833008,1,True,2
XGBoost,0.9999967177171066,0.9999965864802576,0.9999967177171066,0.9999972558005517,0.9999967177171066,0.9999959171841636,0.9999967177171066,1.0,accuracy,0.30889129638671875,0.006079912185668945,0.255312442779541,0.30889129638671875,0.006079912185668945,0.255312442779541,1,True,4
NeuralNetTorch,0.9996635660034267,0.9996501050915299,0.9996635660034267,0.9996638263189858,0.9996635660034267,0.9996363940311597,0.9996635660034267,0.9996666666666667,accuracy,0.8050286769866943,0.016920804977416992,161.05125784873962,0.8050286769866943,0.016920804977416992,161.05125784873962,1,True,5
