model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.49051523208618164,0.09217238426208496,1.7331342697143555,0.49051523208618164,0.09217238426208496,1.7331342697143555,1,True,2
WeightedEnsemble_L2,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.4944922924041748,0.09304118156433105,1.7730700969696045,0.003977060317993164,0.0008687973022460938,0.03993582725524902,2,True,6
RandomForestEntr,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.4968602657318115,0.09314393997192383,1.7017357349395752,0.4968602657318115,0.09314393997192383,1.7017357349395752,1,True,3
XGBoost,0.9997882927533758,0.9997798390248829,0.9997882927533758,0.9997554525325711,0.9997882927533758,0.9998042577455472,0.9997882927533758,0.9999166666666667,accuracy,0.2889699935913086,0.007199525833129883,0.17720985412597656,0.2889699935913086,0.007199525833129883,0.17720985412597656,1,True,4
LightGBM,0.9997374173685282,0.999726931575946,0.9997374173685282,0.9997035484748891,0.9997374173685282,0.9997503443093692,0.9997374173685282,0.9999166666666667,accuracy,0.08797669410705566,0.0036284923553466797,0.2644824981689453,0.08797669410705566,0.0036284923553466797,0.2644824981689453,1,True,1
NeuralNetTorch,0.9997259293784012,0.9997149483863434,0.9997259293784012,0.9997555065520605,0.9997259293784012,0.999674478792915,0.9997259293784012,1.0,accuracy,0.9809262752532959,0.025086641311645508,134.2829887866974,0.9809262752532959,0.025086641311645508,134.2829887866974,1,True,5
