model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestGini,0.9999967177171066,0.9999965864802576,0.9999967177171066,0.9999972558005517,0.9999967177171066,0.9999959171841636,0.9999967177171066,1.0,accuracy,0.5611922740936279,0.08048510551452637,1.5132577419281006,0.5611922740936279,0.08048510551452637,1.5132577419281006,1,True,2
WeightedEnsemble_L2,0.9999967177171066,0.9999965864802576,0.9999967177171066,0.9999972558005517,0.9999967177171066,0.9999959171841636,0.9999967177171066,1.0,accuracy,0.5758481025695801,0.08128476142883301,1.5611233711242676,0.014655828475952148,0.0007996559143066406,0.04786562919616699,2,True,6
RandomForestEntr,0.9999950765756599,0.9999948797169592,0.9999950765756599,0.9999958837121232,0.9999950765756599,0.9999938757762454,0.9999950765756599,1.0,accuracy,0.523007869720459,0.10461068153381348,1.4218144416809082,0.523007869720459,0.10461068153381348,1.4218144416809082,1,True,3
NeuralNetTorch,0.999847373845457,0.9998412622979231,0.999847373845457,0.9998704134228836,0.999847373845457,0.9998121569655962,0.999847373845457,0.9998333333333334,accuracy,1.0999221801757812,0.028620004653930664,363.5979073047638,1.0999221801757812,0.028620004653930664,363.5979073047638,1,True,5
LightGBM,0.9997587522073352,0.9997491138539636,0.9997587522073352,0.9997347422914278,0.9997587522073352,0.9997634965990394,0.9997587522073352,0.9998333333333334,accuracy,0.06222844123840332,0.0023603439331054688,0.28269481658935547,0.06222844123840332,0.0023603439331054688,0.28269481658935547,1,True,1
XGBoost,0.9997144413882744,0.9997030440469048,0.9997144413882744,0.999669659349818,0.9997144413882744,0.9997364892131075,0.9997144413882744,0.9998333333333334,accuracy,0.3915252685546875,0.006415605545043945,0.33187246322631836,0.3915252685546875,0.006415605545043945,0.33187246322631836,1,True,4
