model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,0.9786553143442327,0.9776514141401988,0.9786553143442327,0.9813001749153893,0.9786553143442327,0.974565842122161,0.9786553143442327,0.9743333333333334,accuracy,0.5284011363983154,0.012618541717529297,0.6628127098083496,0.5284011363983154,0.012618541717529297,0.6628127098083496,1,True,1
WeightedEnsemble_L2,0.9784780710679892,0.9774692125705693,0.9784780710679892,0.9810270745170575,0.9784780710679892,0.9744504502711373,0.9784780710679892,0.9746666666666667,accuracy,1.2556736469268799,0.03156089782714844,767.6898736953735,0.006178379058837891,0.0007541179656982422,0.043418169021606445,2,True,6
RandomForestEntr,0.9671066019838118,0.9653930210077235,0.9671066019838118,0.9719525295393144,0.9671066019838118,0.9603985675980424,0.9671066019838118,0.9601666666666666,accuracy,1.2563467025756836,0.0796668529510498,3.1650896072387695,1.2563467025756836,0.0796668529510498,3.1650896072387695,1,True,3
RandomForestGini,0.9667750914115786,0.9650475693067688,0.9667750914115786,0.9715398559841022,0.9667750914115786,0.9600952992066867,0.9667750914115786,0.96025,accuracy,1.2881333827972412,0.08052706718444824,2.7559311389923096,1.2881333827972412,0.08052706718444824,2.7559311389923096,1,True,2
XGBoost,0.9652652412806155,0.9636402177172227,0.9652652412806155,0.9670477800953108,0.9652652412806155,0.9607498376319833,0.9652652412806155,0.9593333333333334,accuracy,0.30216121673583984,0.00680851936340332,0.551668643951416,0.30216121673583984,0.00680851936340332,0.551668643951416,1,True,4
NeuralNetTorch,0.9540562451996613,0.9519618908689684,0.9540562451996613,0.9546501147966269,0.9540562451996613,0.9496241080425574,0.9540562451996613,0.94925,accuracy,0.7210941314697266,0.0181882381439209,766.9836428165436,0.7210941314697266,0.0181882381439209,766.9836428165436,1,True,5
