model,score_test,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9782827752358321,0.9772575899031364,0.9782827752358321,0.9810027091927669,0.9782827752358321,0.9741024425247267,0.9782827752358321,0.9748333333333333,accuracy,3.201622486114502,0.2185220718383789,9.320266962051392,0.009528398513793945,0.0007672309875488281,0.04269719123840332,2,True,6
LightGBM,0.978146560495756,0.9771175318127858,0.978146560495756,0.9807937672052416,0.978146560495756,0.9740126524464516,0.978146560495756,0.9745833333333334,accuracy,0.3872218132019043,0.009814739227294922,0.48303842544555664,0.3872218132019043,0.009814739227294922,0.48303842544555664,1,True,1
RandomForestGini,0.9681405210952322,0.9665034306032798,0.9681405210952322,0.972635232813059,0.9681405210952322,0.9617689864700967,0.9681405210952322,0.9624166666666667,accuracy,1.4330906867980957,0.10464692115783691,4.074707984924316,1.4330906867980957,0.10464692115783691,4.074707984924316,1,True,2
RandomForestEntr,0.968081440003151,0.9664391622449111,0.968081440003151,0.9726118720414128,0.968081440003151,0.9616794325691209,0.968081440003151,0.9623333333333334,accuracy,1.371781587600708,0.10329318046569824,4.719823360443115,1.371781587600708,0.10329318046569824,4.719823360443115,1,True,3
XGBoost,0.9606388635423709,0.9588088426890478,0.9606388635423709,0.9620236935389073,0.9606388635423709,0.9560666590725371,0.9606388635423709,0.9598333333333333,accuracy,0.3075573444366455,0.00847005844116211,0.4900214672088623,0.3075573444366455,0.00847005844116211,0.4900214672088623,1,True,4
NeuralNetTorch,0.9531979282230377,0.9509244335649576,0.9531979282230377,0.9552296650397726,0.9531979282230377,0.9474193098743291,0.9531979282230377,0.9504166666666667,accuracy,0.7525250911712646,0.020829200744628906,299.1914207935333,0.7525250911712646,0.020829200744628906,299.1914207935333,1,True,5
